south_1,south_2,north_1,north_2,east_1,east_2,west_1,west_2,datetime,intersection,day,day_name
37,50,47,47,54,42,50,53,2024-04-08 09:00:00,Yonge and Bloor,0,Monday
38,43,42,37,54,52,41,49,2024-04-08 09:15:00,Yonge and Bloor,0,Monday
52,47,39,37,47,46,55,49,2024-04-08 09:30:00,Yonge and Bloor,0,Monday
40,53,37,37,52,48,54,53,2024-04-08 09:45:00,Yonge and Bloor,0,Monday
45,50,47,37,53,39,53,56,2024-04-08 10:00:00,Yonge and Bloor,0,Monday
54,42,50,49,48,44,49,50,2024-04-08 10:15:00,Yonge and Bloor,0,Monday
39,43,38,51,45,40,42,40,2024-04-08 10:30:00,Yonge and Bloor,0,Monday
53,43,45,45,39,55,40,39,2024-04-08 10:45:00,Yonge and Bloor,0,Monday
46,46,46,43,44,54,44,49,2024-04-08 11:00:00,Yonge and Bloor,0,Monday
40,53,50,37,50,41,56,49,2024-04-08 11:15:00,Yonge and Bloor,0,Monday
51,49,41,47,47,39,55,49,2024-04-08 11:30:00,Yonge and Bloor,0,Monday
44,45,37,37,53,45,40,54,2024-04-08 11:45:00,Yonge and Bloor,0,Monday
25,28,25,26,30,29,28,27,2024-04-08 12:00:00,Yonge and Bloor,0,Monday
25,28,28,26,29,31,31,27,2024-04-08 12:15:00,Yonge and Bloor,0,Monday
27,28,31,26,31,29,29,29,2024-04-08 12:30:00,Yonge and Bloor,0,Monday
26,27,25,24,31,29,31,30,2024-04-08 12:45:00,Yonge and Bloor,0,Monday
27,27,26,27,28,29,31,28,2024-04-08 13:00:00,Yonge and Bloor,0,Monday
28,27,26,24,27,27,32,30,2024-04-08 13:15:00,Yonge and Bloor,0,Monday
24,25,28,26,28,29,27,29,2024-04-08 13:30:00,Yonge and Bloor,0,Monday
25,28,28,25,31,29,30,28,2024-04-08 13:45:00,Yonge and Bloor,0,Monday
24,26,25,26,27,28,27,31,2024-04-08 14:00:00,Yonge and Bloor,0,Monday
32,26,25,24,30,30,31,27,2024-04-08 14:15:00,Yonge and Bloor,0,Monday
27,27,27,25,29,31,27,28,2024-04-08 14:30:00,Yonge and Bloor,0,Monday
27,28,28,26,27,28,29,27,2024-04-08 14:45:00,Yonge and Bloor,0,Monday
27,27,28,26,31,27,26,28,2024-04-08 15:00:00,Yonge and Bloor,0,Monday
27,27,27,25,29,27,28,27,2024-04-08 15:15:00,Yonge and Bloor,0,Monday
25,26,24,26,27,31,28,28,2024-04-08 15:30:00,Yonge and Bloor,0,Monday
25,28,27,25,29,26,32,31,2024-04-08 15:45:00,Yonge and Bloor,0,Monday
25,27,28,26,28,27,30,29,2024-04-08 16:00:00,Yonge and Bloor,0,Monday
27,27,25,27,27,28,30,27,2024-04-08 16:15:00,Yonge and Bloor,0,Monday
26,25,28,25,27,26,27,30,2024-04-08 16:30:00,Yonge and Bloor,0,Monday
31,25,24,28,31,29,30,30,2024-04-08 16:45:00,Yonge and Bloor,0,Monday
42,40,52,39,51,47,41,55,2024-04-08 17:00:00,Yonge and Bloor,0,Monday
46,39,56,37,43,52,40,49,2024-04-08 17:15:00,Yonge and Bloor,0,Monday
53,52,41,36,47,51,52,39,2024-04-08 17:30:00,Yonge and Bloor,0,Monday
50,51,39,53,55,58,54,55,2024-04-08 17:45:00,Yonge and Bloor,0,Monday
45,38,44,45,43,43,54,52,2024-04-08 18:00:00,Yonge and Bloor,0,Monday
47,47,36,50,52,48,44,48,2024-04-08 18:15:00,Yonge and Bloor,0,Monday
53,39,51,40,51,52,42,53,2024-04-08 18:30:00,Yonge and Bloor,0,Monday
50,53,53,43,56,52,49,42,2024-04-08 18:45:00,Yonge and Bloor,0,Monday
42,44,43,51,40,55,43,47,2024-04-08 19:00:00,Yonge and Bloor,0,Monday
49,38,41,41,56,51,41,54,2024-04-08 19:15:00,Yonge and Bloor,0,Monday
38,41,39,48,53,48,43,56,2024-04-08 19:30:00,Yonge and Bloor,0,Monday
41,46,44,51,55,57,46,40,2024-04-08 19:45:00,Yonge and Bloor,0,Monday
28,24,31,25,30,33,28,27,2024-04-08 20:00:00,Yonge and Bloor,0,Monday
27,25,26,26,29,30,28,31,2024-04-08 20:15:00,Yonge and Bloor,0,Monday
28,25,24,25,31,29,26,27,2024-04-08 20:30:00,Yonge and Bloor,0,Monday
25,28,26,28,31,30,29,29,2024-04-08 20:45:00,Yonge and Bloor,0,Monday
28,27,30,28,27,30,30,28,2024-04-08 21:00:00,Yonge and Bloor,0,Monday
32,24,26,28,28,30,29,31,2024-04-08 21:15:00,Yonge and Bloor,0,Monday
31,26,27,24,27,27,31,28,2024-04-08 21:30:00,Yonge and Bloor,0,Monday
28,27,25,28,29,26,29,28,2024-04-08 21:45:00,Yonge and Bloor,0,Monday
26,24,28,24,30,29,31,29,2024-04-08 22:00:00,Yonge and Bloor,0,Monday
26,28,28,25,29,29,26,28,2024-04-08 22:15:00,Yonge and Bloor,0,Monday
24,28,24,25,27,27,26,28,2024-04-08 22:30:00,Yonge and Bloor,0,Monday
30,25,25,28,30,32,29,30,2024-04-08 22:45:00,Yonge and Bloor,0,Monday
2,2,1,1,4,5,5,4,2024-04-08 23:00:00,Yonge and Bloor,0,Monday
2,1,2,4,7,3,5,7,2024-04-08 23:15:00,Yonge and Bloor,0,Monday
2,3,3,1,5,5,7,4,2024-04-08 23:30:00,Yonge and Bloor,0,Monday
3,2,4,4,4,3,5,7,2024-04-08 23:45:00,Yonge and Bloor,0,Monday
2,1,3,2,7,3,5,7,2024-04-09 00:00:00,Yonge and Bloor,1,Tuesday
1,3,2,3,4,3,6,5,2024-04-09 00:15:00,Yonge and Bloor,1,Tuesday
4,2,2,1,7,6,5,5,2024-04-09 00:30:00,Yonge and Bloor,1,Tuesday
4,2,2,1,5,6,7,4,2024-04-09 00:45:00,Yonge and Bloor,1,Tuesday
3,3,1,3,6,3,5,7,2024-04-09 01:00:00,Yonge and Bloor,1,Tuesday
4,1,1,2,7,7,7,4,2024-04-09 01:15:00,Yonge and Bloor,1,Tuesday
3,2,2,3,7,4,6,7,2024-04-09 01:30:00,Yonge and Bloor,1,Tuesday
3,1,2,3,4,4,3,7,2024-04-09 01:45:00,Yonge and Bloor,1,Tuesday
1,3,3,2,6,8,6,4,2024-04-09 02:00:00,Yonge and Bloor,1,Tuesday
3,3,4,3,6,5,3,5,2024-04-09 02:15:00,Yonge and Bloor,1,Tuesday
4,2,3,2,4,8,7,7,2024-04-09 02:30:00,Yonge and Bloor,1,Tuesday
3,4,2,1,5,5,6,5,2024-04-09 02:45:00,Yonge and Bloor,1,Tuesday
3,4,4,3,7,4,7,4,2024-04-09 03:00:00,Yonge and Bloor,1,Tuesday
4,4,6,3,4,3,8,6,2024-04-09 03:15:00,Yonge and Bloor,1,Tuesday
2,1,2,1,6,8,6,4,2024-04-09 03:30:00,Yonge and Bloor,1,Tuesday
2,2,3,1,4,7,5,4,2024-04-09 03:45:00,Yonge and Bloor,1,Tuesday
3,1,1,1,4,7,3,7,2024-04-09 04:00:00,Yonge and Bloor,1,Tuesday
4,1,2,3,4,5,6,7,2024-04-09 04:15:00,Yonge and Bloor,1,Tuesday
3,1,3,3,7,5,7,5,2024-04-09 04:30:00,Yonge and Bloor,1,Tuesday
7,2,3,3,6,3,6,4,2024-04-09 04:45:00,Yonge and Bloor,1,Tuesday
27,24,24,24,27,33,27,27,2024-04-09 05:00:00,Yonge and Bloor,1,Tuesday
25,25,29,24,30,26,28,31,2024-04-09 05:15:00,Yonge and Bloor,1,Tuesday
27,25,24,26,30,27,31,29,2024-04-09 05:30:00,Yonge and Bloor,1,Tuesday
24,24,25,24,31,28,31,31,2024-04-09 05:45:00,Yonge and Bloor,1,Tuesday
27,25,28,28,27,29,30,28,2024-04-09 06:00:00,Yonge and Bloor,1,Tuesday
24,24,28,24,30,30,29,29,2024-04-09 06:15:00,Yonge and Bloor,1,Tuesday
29,28,24,26,28,26,29,29,2024-04-09 06:30:00,Yonge and Bloor,1,Tuesday
28,28,28,28,30,29,29,28,2024-04-09 06:45:00,Yonge and Bloor,1,Tuesday
26,25,24,24,28,30,26,27,2024-04-09 07:00:00,Yonge and Bloor,1,Tuesday
25,28,26,28,28,30,29,30,2024-04-09 07:15:00,Yonge and Bloor,1,Tuesday
24,28,28,27,29,30,27,29,2024-04-09 07:30:00,Yonge and Bloor,1,Tuesday
26,27,30,27,31,27,27,27,2024-04-09 07:45:00,Yonge and Bloor,1,Tuesday
45,40,43,41,42,41,43,44,2024-04-09 08:00:00,Yonge and Bloor,1,Tuesday
40,41,40,39,42,42,41,43,2024-04-09 08:15:00,Yonge and Bloor,1,Tuesday
41,41,41,40,42,42,43,43,2024-04-09 08:30:00,Yonge and Bloor,1,Tuesday
39,39,41,39,43,42,43,44,2024-04-09 08:45:00,Yonge and Bloor,1,Tuesday
39,52,36,49,55,40,46,42,2024-04-09 09:00:00,Yonge and Bloor,1,Tuesday
48,46,50,50,41,43,54,46,2024-04-09 09:15:00,Yonge and Bloor,1,Tuesday
49,47,38,41,54,43,50,45,2024-04-09 09:30:00,Yonge and Bloor,1,Tuesday
43,37,46,41,42,45,42,41,2024-04-09 09:45:00,Yonge and Bloor,1,Tuesday
40,47,41,37,46,56,45,48,2024-04-09 10:00:00,Yonge and Bloor,1,Tuesday
43,46,44,43,51,51,56,48,2024-04-09 10:15:00,Yonge and Bloor,1,Tuesday
43,43,45,49,44,55,39,56,2024-04-09 10:30:00,Yonge and Bloor,1,Tuesday
54,41,45,47,50,43,41,39,2024-04-09 10:45:00,Yonge and Bloor,1,Tuesday
48,37,39,51,47,53,43,40,2024-04-09 11:00:00,Yonge and Bloor,1,Tuesday
47,47,38,47,54,39,44,41,2024-04-09 11:15:00,Yonge and Bloor,1,Tuesday
45,51,42,49,55,48,51,42,2024-04-09 11:30:00,Yonge and Bloor,1,Tuesday
45,49,50,49,43,45,38,41,2024-04-09 11:45:00,Yonge and Bloor,1,Tuesday
25,26,25,26,28,30,26,27,2024-04-09 12:00:00,Yonge and Bloor,1,Tuesday
32,24,27,28,31,27,31,28,2024-04-09 12:15:00,Yonge and Bloor,1,Tuesday
25,27,25,24,27,32,30,27,2024-04-09 12:30:00,Yonge and Bloor,1,Tuesday
27,26,29,27,28,27,27,28,2024-04-09 12:45:00,Yonge and Bloor,1,Tuesday
26,24,24,25,30,28,26,31,2024-04-09 13:00:00,Yonge and Bloor,1,Tuesday
24,25,24,25,31,29,27,27,2024-04-09 13:15:00,Yonge and Bloor,1,Tuesday
25,24,28,27,29,29,28,31,2024-04-09 13:30:00,Yonge and Bloor,1,Tuesday
26,27,28,26,28,30,27,28,2024-04-09 13:45:00,Yonge and Bloor,1,Tuesday
24,26,28,28,27,26,29,31,2024-04-09 14:00:00,Yonge and Bloor,1,Tuesday
25,25,29,27,30,32,29,27,2024-04-09 14:15:00,Yonge and Bloor,1,Tuesday
24,28,28,28,31,28,28,31,2024-04-09 14:30:00,Yonge and Bloor,1,Tuesday
30,28,28,26,31,30,29,31,2024-04-09 14:45:00,Yonge and Bloor,1,Tuesday
32,25,26,25,30,30,30,29,2024-04-09 15:00:00,Yonge and Bloor,1,Tuesday
26,28,27,27,27,33,26,27,2024-04-09 15:15:00,Yonge and Bloor,1,Tuesday
24,27,28,26,30,26,28,29,2024-04-09 15:30:00,Yonge and Bloor,1,Tuesday
24,24,24,24,29,29,30,28,2024-04-09 15:45:00,Yonge and Bloor,1,Tuesday
28,25,29,28,30,27,28,30,2024-04-09 16:00:00,Yonge and Bloor,1,Tuesday
24,28,24,26,27,30,29,30,2024-04-09 16:15:00,Yonge and Bloor,1,Tuesday
26,28,27,24,31,33,28,28,2024-04-09 16:30:00,Yonge and Bloor,1,Tuesday
26,26,27,28,30,30,31,28,2024-04-09 16:45:00,Yonge and Bloor,1,Tuesday
48,37,40,36,48,47,42,53,2024-04-09 17:00:00,Yonge and Bloor,1,Tuesday
47,45,40,36,52,53,42,50,2024-04-09 17:15:00,Yonge and Bloor,1,Tuesday
44,48,36,53,50,43,55,47,2024-04-09 17:30:00,Yonge and Bloor,1,Tuesday
46,47,52,38,53,45,43,41,2024-04-09 17:45:00,Yonge and Bloor,1,Tuesday
40,47,37,44,50,51,44,50,2024-04-09 18:00:00,Yonge and Bloor,1,Tuesday
36,52,44,45,39,54,54,46,2024-04-09 18:15:00,Yonge and Bloor,1,Tuesday
48,49,42,47,51,38,47,55,2024-04-09 18:30:00,Yonge and Bloor,1,Tuesday
41,38,49,43,46,48,49,51,2024-04-09 18:45:00,Yonge and Bloor,1,Tuesday
53,43,53,46,53,42,50,45,2024-04-09 19:00:00,Yonge and Bloor,1,Tuesday
43,44,43,42,43,46,38,42,2024-04-09 19:15:00,Yonge and Bloor,1,Tuesday
38,53,37,48,54,55,46,55,2024-04-09 19:30:00,Yonge and Bloor,1,Tuesday
48,52,49,50,47,48,55,39,2024-04-09 19:45:00,Yonge and Bloor,1,Tuesday
28,25,24,24,27,28,30,28,2024-04-09 20:00:00,Yonge and Bloor,1,Tuesday
25,24,24,27,27,26,27,29,2024-04-09 20:15:00,Yonge and Bloor,1,Tuesday
25,25,25,27,29,30,30,28,2024-04-09 20:30:00,Yonge and Bloor,1,Tuesday
25,25,25,26,31,27,26,28,2024-04-09 20:45:00,Yonge and Bloor,1,Tuesday
25,27,26,26,31,27,29,27,2024-04-09 21:00:00,Yonge and Bloor,1,Tuesday
25,25,28,25,30,29,30,28,2024-04-09 21:15:00,Yonge and Bloor,1,Tuesday
31,25,26,28,31,32,29,27,2024-04-09 21:30:00,Yonge and Bloor,1,Tuesday
28,24,24,28,31,28,29,31,2024-04-09 21:45:00,Yonge and Bloor,1,Tuesday
25,28,28,27,31,27,28,31,2024-04-09 22:00:00,Yonge and Bloor,1,Tuesday
25,27,26,26,31,31,27,30,2024-04-09 22:15:00,Yonge and Bloor,1,Tuesday
26,26,25,25,29,30,30,28,2024-04-09 22:30:00,Yonge and Bloor,1,Tuesday
27,25,25,28,27,27,30,30,2024-04-09 22:45:00,Yonge and Bloor,1,Tuesday
3,2,7,2,4,7,8,4,2024-04-09 23:00:00,Yonge and Bloor,1,Tuesday
3,3,2,1,6,3,5,5,2024-04-09 23:15:00,Yonge and Bloor,1,Tuesday
3,2,1,4,6,9,4,6,2024-04-09 23:30:00,Yonge and Bloor,1,Tuesday
2,1,4,3,7,6,6,7,2024-04-09 23:45:00,Yonge and Bloor,1,Tuesday
8,2,3,2,6,5,4,7,2024-04-10 00:00:00,Yonge and Bloor,2,Wednesday
2,1,3,2,6,6,6,4,2024-04-10 00:15:00,Yonge and Bloor,2,Wednesday
6,4,3,1,4,6,7,7,2024-04-10 00:30:00,Yonge and Bloor,2,Wednesday
6,1,3,1,6,6,7,7,2024-04-10 00:45:00,Yonge and Bloor,2,Wednesday
1,4,1,2,7,6,3,6,2024-04-10 01:00:00,Yonge and Bloor,2,Wednesday
2,1,4,3,4,3,6,6,2024-04-10 01:15:00,Yonge and Bloor,2,Wednesday
1,4,2,2,7,6,8,7,2024-04-10 01:30:00,Yonge and Bloor,2,Wednesday
3,4,4,1,7,6,4,5,2024-04-10 01:45:00,Yonge and Bloor,2,Wednesday
3,1,2,2,5,6,6,6,2024-04-10 02:00:00,Yonge and Bloor,2,Wednesday
4,4,6,4,4,3,4,6,2024-04-10 02:15:00,Yonge and Bloor,2,Wednesday
3,2,4,1,7,4,7,7,2024-04-10 02:30:00,Yonge and Bloor,2,Wednesday
2,1,2,3,4,6,4,6,2024-04-10 02:45:00,Yonge and Bloor,2,Wednesday
7,4,2,3,6,3,5,7,2024-04-10 03:00:00,Yonge and Bloor,2,Wednesday
3,2,2,3,6,8,6,6,2024-04-10 03:15:00,Yonge and Bloor,2,Wednesday
3,3,4,3,5,5,5,7,2024-04-10 03:30:00,Yonge and Bloor,2,Wednesday
1,4,7,4,7,3,7,6,2024-04-10 03:45:00,Yonge and Bloor,2,Wednesday
4,4,2,2,7,9,4,5,2024-04-10 04:00:00,Yonge and Bloor,2,Wednesday
2,1,2,1,7,5,3,7,2024-04-10 04:15:00,Yonge and Bloor,2,Wednesday
3,1,2,2,6,6,7,6,2024-04-10 04:30:00,Yonge and Bloor,2,Wednesday
3,4,4,3,7,5,6,6,2024-04-10 04:45:00,Yonge and Bloor,2,Wednesday
31,25,27,27,27,33,29,28,2024-04-10 05:00:00,Yonge and Bloor,2,Wednesday
24,27,26,28,31,30,27,29,2024-04-10 05:15:00,Yonge and Bloor,2,Wednesday
24,26,29,25,28,32,27,27,2024-04-10 05:30:00,Yonge and Bloor,2,Wednesday
25,25,26,25,31,26,31,31,2024-04-10 05:45:00,Yonge and Bloor,2,Wednesday
30,28,28,24,30,29,30,29,2024-04-10 06:00:00,Yonge and Bloor,2,Wednesday
25,26,27,26,30,27,30,27,2024-04-10 06:15:00,Yonge and Bloor,2,Wednesday
27,26,27,26,30,30,29,31,2024-04-10 06:30:00,Yonge and Bloor,2,Wednesday
24,27,28,24,27,30,26,31,2024-04-10 06:45:00,Yonge and Bloor,2,Wednesday
25,27,27,24,27,26,28,31,2024-04-10 07:00:00,Yonge and Bloor,2,Wednesday
28,24,27,28,31,29,28,31,2024-04-10 07:15:00,Yonge and Bloor,2,Wednesday
28,27,26,27,27,26,28,31,2024-04-10 07:30:00,Yonge and Bloor,2,Wednesday
25,25,29,27,27,26,28,29,2024-04-10 07:45:00,Yonge and Bloor,2,Wednesday
39,39,42,40,43,42,41,43,2024-04-10 08:00:00,Yonge and Bloor,2,Wednesday
45,39,44,40,43,43,41,43,2024-04-10 08:15:00,Yonge and Bloor,2,Wednesday
41,40,39,40,43,42,42,44,2024-04-10 08:30:00,Yonge and Bloor,2,Wednesday
39,40,41,40,44,45,45,44,2024-04-10 08:45:00,Yonge and Bloor,2,Wednesday
50,51,41,36,49,52,44,54,2024-04-10 09:00:00,Yonge and Bloor,2,Wednesday
48,42,42,40,55,50,55,48,2024-04-10 09:15:00,Yonge and Bloor,2,Wednesday
53,50,47,53,55,55,48,43,2024-04-10 09:30:00,Yonge and Bloor,2,Wednesday
44,50,48,51,45,42,48,42,2024-04-10 09:45:00,Yonge and Bloor,2,Wednesday
41,39,38,39,41,58,41,50,2024-04-10 10:00:00,Yonge and Bloor,2,Wednesday
41,53,54,52,53,58,49,41,2024-04-10 10:15:00,Yonge and Bloor,2,Wednesday
38,41,45,45,50,49,44,46,2024-04-10 10:30:00,Yonge and Bloor,2,Wednesday
45,48,43,49,45,50,41,44,2024-04-10 10:45:00,Yonge and Bloor,2,Wednesday
49,51,37,41,42,39,38,51,2024-04-10 11:00:00,Yonge and Bloor,2,Wednesday
38,39,43,49,45,51,38,54,2024-04-10 11:15:00,Yonge and Bloor,2,Wednesday
44,41,41,45,45,51,48,43,2024-04-10 11:30:00,Yonge and Bloor,2,Wednesday
51,48,46,38,53,52,55,52,2024-04-10 11:45:00,Yonge and Bloor,2,Wednesday
25,26,24,26,29,29,26,29,2024-04-10 12:00:00,Yonge and Bloor,2,Wednesday
27,28,28,28,29,26,29,27,2024-04-10 12:15:00,Yonge and Bloor,2,Wednesday
32,28,26,28,31,30,30,27,2024-04-10 12:30:00,Yonge and Bloor,2,Wednesday
28,24,28,24,29,26,30,30,2024-04-10 12:45:00,Yonge and Bloor,2,Wednesday
26,27,24,25,28,26,28,28,2024-04-10 13:00:00,Yonge and Bloor,2,Wednesday
25,27,24,25,29,28,30,28,2024-04-10 13:15:00,Yonge and Bloor,2,Wednesday
28,24,28,28,29,33,26,31,2024-04-10 13:30:00,Yonge and Bloor,2,Wednesday
28,28,27,27,27,27,29,29,2024-04-10 13:45:00,Yonge and Bloor,2,Wednesday
25,24,28,24,29,27,26,29,2024-04-10 14:00:00,Yonge and Bloor,2,Wednesday
25,27,27,26,31,26,29,31,2024-04-10 14:15:00,Yonge and Bloor,2,Wednesday
27,28,28,24,30,29,28,28,2024-04-10 14:30:00,Yonge and Bloor,2,Wednesday
25,28,25,28,27,30,31,27,2024-04-10 14:45:00,Yonge and Bloor,2,Wednesday
24,25,25,27,30,29,29,28,2024-04-10 15:00:00,Yonge and Bloor,2,Wednesday
30,27,29,25,27,26,30,27,2024-04-10 15:15:00,Yonge and Bloor,2,Wednesday
25,28,26,28,29,30,32,29,2024-04-10 15:30:00,Yonge and Bloor,2,Wednesday
25,26,28,27,31,29,30,29,2024-04-10 15:45:00,Yonge and Bloor,2,Wednesday
27,26,27,26,28,29,28,28,2024-04-10 16:00:00,Yonge and Bloor,2,Wednesday
26,28,27,25,31,30,30,30,2024-04-10 16:15:00,Yonge and Bloor,2,Wednesday
28,25,28,26,27,31,29,27,2024-04-10 16:30:00,Yonge and Bloor,2,Wednesday
24,25,27,25,30,26,28,30,2024-04-10 16:45:00,Yonge and Bloor,2,Wednesday
36,42,42,38,41,46,53,41,2024-04-10 17:00:00,Yonge and Bloor,2,Wednesday
36,39,43,50,51,45,40,55,2024-04-10 17:15:00,Yonge and Bloor,2,Wednesday
41,52,50,36,56,52,51,54,2024-04-10 17:30:00,Yonge and Bloor,2,Wednesday
42,40,41,43,49,49,54,39,2024-04-10 17:45:00,Yonge and Bloor,2,Wednesday
41,36,42,38,51,52,38,39,2024-04-10 18:00:00,Yonge and Bloor,2,Wednesday
49,39,54,46,45,39,38,47,2024-04-10 18:15:00,Yonge and Bloor,2,Wednesday
48,50,52,43,40,54,41,49,2024-04-10 18:30:00,Yonge and Bloor,2,Wednesday
56,45,51,45,54,39,48,51,2024-04-10 18:45:00,Yonge and Bloor,2,Wednesday
39,51,39,46,42,47,44,41,2024-04-10 19:00:00,Yonge and Bloor,2,Wednesday
41,50,52,49,56,38,40,50,2024-04-10 19:15:00,Yonge and Bloor,2,Wednesday
43,48,45,46,50,41,45,40,2024-04-10 19:30:00,Yonge and Bloor,2,Wednesday
41,45,41,47,54,47,57,48,2024-04-10 19:45:00,Yonge and Bloor,2,Wednesday
25,26,28,28,28,30,28,27,2024-04-10 20:00:00,Yonge and Bloor,2,Wednesday
25,25,27,24,29,28,26,29,2024-04-10 20:15:00,Yonge and Bloor,2,Wednesday
24,27,24,25,31,27,29,28,2024-04-10 20:30:00,Yonge and Bloor,2,Wednesday
28,26,27,25,27,30,29,30,2024-04-10 20:45:00,Yonge and Bloor,2,Wednesday
25,25,28,28,31,27,30,28,2024-04-10 21:00:00,Yonge and Bloor,2,Wednesday
24,27,29,24,29,28,28,31,2024-04-10 21:15:00,Yonge and Bloor,2,Wednesday
28,26,27,28,31,29,29,29,2024-04-10 21:30:00,Yonge and Bloor,2,Wednesday
24,27,25,25,30,29,30,29,2024-04-10 21:45:00,Yonge and Bloor,2,Wednesday
27,24,28,27,31,30,30,30,2024-04-10 22:00:00,Yonge and Bloor,2,Wednesday
25,25,28,25,28,28,26,30,2024-04-10 22:15:00,Yonge and Bloor,2,Wednesday
29,28,25,24,28,26,31,29,2024-04-10 22:30:00,Yonge and Bloor,2,Wednesday
26,25,25,24,31,26,30,28,2024-04-10 22:45:00,Yonge and Bloor,2,Wednesday
3,4,2,2,5,3,5,4,2024-04-10 23:00:00,Yonge and Bloor,2,Wednesday
2,2,4,4,6,4,4,7,2024-04-10 23:15:00,Yonge and Bloor,2,Wednesday
2,1,7,3,6,6,6,4,2024-04-10 23:30:00,Yonge and Bloor,2,Wednesday
3,1,5,3,6,7,3,7,2024-04-10 23:45:00,Yonge and Bloor,2,Wednesday
6,3,1,1,6,4,4,7,2024-04-11 00:00:00,Yonge and Bloor,3,Thursday
1,1,3,3,7,3,5,4,2024-04-11 00:15:00,Yonge and Bloor,3,Thursday
2,2,4,4,7,6,4,6,2024-04-11 00:30:00,Yonge and Bloor,3,Thursday
2,4,3,4,6,6,6,7,2024-04-11 00:45:00,Yonge and Bloor,3,Thursday
4,3,4,2,7,4,5,6,2024-04-11 01:00:00,Yonge and Bloor,3,Thursday
4,4,6,3,7,4,6,7,2024-04-11 01:15:00,Yonge and Bloor,3,Thursday
1,4,3,1,5,7,3,7,2024-04-11 01:30:00,Yonge and Bloor,3,Thursday
2,2,4,4,7,3,3,4,2024-04-11 01:45:00,Yonge and Bloor,3,Thursday
2,2,2,4,4,5,4,6,2024-04-11 02:00:00,Yonge and Bloor,3,Thursday
3,4,2,3,4,6,7,5,2024-04-11 02:15:00,Yonge and Bloor,3,Thursday
4,3,1,3,5,3,6,7,2024-04-11 02:30:00,Yonge and Bloor,3,Thursday
8,3,3,3,7,8,5,7,2024-04-11 02:45:00,Yonge and Bloor,3,Thursday
1,2,4,1,4,3,5,5,2024-04-11 03:00:00,Yonge and Bloor,3,Thursday
4,3,3,3,7,5,6,7,2024-04-11 03:15:00,Yonge and Bloor,3,Thursday
1,3,6,4,4,9,3,5,2024-04-11 03:30:00,Yonge and Bloor,3,Thursday
4,4,3,1,4,3,4,7,2024-04-11 03:45:00,Yonge and Bloor,3,Thursday
4,3,5,3,7,8,5,6,2024-04-11 04:00:00,Yonge and Bloor,3,Thursday
2,4,4,2,4,6,5,6,2024-04-11 04:15:00,Yonge and Bloor,3,Thursday
2,4,6,3,7,4,4,7,2024-04-11 04:30:00,Yonge and Bloor,3,Thursday
3,2,1,2,5,6,3,4,2024-04-11 04:45:00,Yonge and Bloor,3,Thursday
24,28,28,28,30,29,28,27,2024-04-11 05:00:00,Yonge and Bloor,3,Thursday
26,27,28,25,30,31,29,28,2024-04-11 05:15:00,Yonge and Bloor,3,Thursday
24,24,28,27,27,27,27,27,2024-04-11 05:30:00,Yonge and Bloor,3,Thursday
30,28,29,24,29,26,26,31,2024-04-11 05:45:00,Yonge and Bloor,3,Thursday
26,28,28,24,31,29,30,29,2024-04-11 06:00:00,Yonge and Bloor,3,Thursday
28,25,27,28,28,30,30,29,2024-04-11 06:15:00,Yonge and Bloor,3,Thursday
24,27,30,25,27,29,29,31,2024-04-11 06:30:00,Yonge and Bloor,3,Thursday
24,25,28,24,27,27,30,27,2024-04-11 06:45:00,Yonge and Bloor,3,Thursday
27,25,27,28,27,26,27,29,2024-04-11 07:00:00,Yonge and Bloor,3,Thursday
24,26,26,28,27,30,29,29,2024-04-11 07:15:00,Yonge and Bloor,3,Thursday
28,26,27,27,31,29,30,30,2024-04-11 07:30:00,Yonge and Bloor,3,Thursday
27,28,28,25,28,32,32,29,2024-04-11 07:45:00,Yonge and Bloor,3,Thursday
44,40,41,41,42,44,45,42,2024-04-11 08:00:00,Yonge and Bloor,3,Thursday
40,41,40,40,44,42,41,44,2024-04-11 08:15:00,Yonge and Bloor,3,Thursday
39,40,44,39,43,46,41,42,2024-04-11 08:30:00,Yonge and Bloor,3,Thursday
40,40,43,39,43,41,43,44,2024-04-11 08:45:00,Yonge and Bloor,3,Thursday
47,41,43,38,48,42,48,46,2024-04-11 09:00:00,Yonge and Bloor,3,Thursday
47,46,41,42,46,44,51,42,2024-04-11 09:15:00,Yonge and Bloor,3,Thursday
53,40,46,43,43,53,42,47,2024-04-11 09:30:00,Yonge and Bloor,3,Thursday
43,48,48,49,56,40,57,39,2024-04-11 09:45:00,Yonge and Bloor,3,Thursday
36,39,43,46,43,43,39,49,2024-04-11 10:00:00,Yonge and Bloor,3,Thursday
50,49,47,42,44,54,38,55,2024-04-11 10:15:00,Yonge and Bloor,3,Thursday
50,45,45,45,47,47,50,54,2024-04-11 10:30:00,Yonge and Bloor,3,Thursday
45,50,48,50,51,38,41,56,2024-04-11 10:45:00,Yonge and Bloor,3,Thursday
38,52,48,41,42,46,42,40,2024-04-11 11:00:00,Yonge and Bloor,3,Thursday
37,49,37,47,39,55,48,40,2024-04-11 11:15:00,Yonge and Bloor,3,Thursday
44,48,45,44,44,48,39,47,2024-04-11 11:30:00,Yonge and Bloor,3,Thursday
48,40,47,44,46,40,49,54,2024-04-11 11:45:00,Yonge and Bloor,3,Thursday
